trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.9, 'e': 0.9221563184394989}",25,4,-34.863231648845414,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.9212341621210594}",25,-3,-153.3981198601555,"{0: 18, 1: 0, 2: 6, 3: 2, 4: 2}",0
83,False,"{'a': 0.9, 'e': 0.9203129279589383}",20,-76,-392.9167956328747,"{0: 56, 1: 13, 2: 21, 3: 2, 4: 4}",0
84,False,"{'a': 0.9, 'e': 0.9193926150309794}",25,-17,-156.96185184925943,"{0: 28, 1: 5, 2: 5, 3: 2, 4: 2}",0
85,False,"{'a': 0.9, 'e': 0.9184732224159483}",30,-100,-623.6367810584256,"{0: 78, 1: 7, 2: 36, 3: 1, 4: 8}",0
86,False,"{'a': 0.9, 'e': 0.9175547491935324}",30,-7,-140.0303372166749,"{0: 25, 1: 1, 2: 9, 3: 0, 4: 2}",0
87,False,"{'a': 0.9, 'e': 0.9166371944443389}",20,-100,-399.39373209310224,"{0: 84, 1: 11, 2: 14, 3: 5, 4: 6}",0
88,False,"{'a': 0.9, 'e': 0.9157205572498945}",25,-30,-74.14693336778222,"{0: 42, 1: 4, 2: 7, 3: 2, 4: 0}",0
89,False,"{'a': 0.9, 'e': 0.9148048366926447}",30,-22,-136.36656428074875,"{0: 36, 1: 6, 2: 8, 3: 0, 4: 2}",0
90,False,"{'a': 0.9, 'e': 0.913890031855952}",20,-100,-561.0026172578021,"{0: 78, 1: 9, 2: 20, 3: 5, 4: 8}",0
91,False,"{'a': 0.9, 'e': 0.912976141824096}",20,-32,-182.18375405065936,"{0: 31, 1: 9, 2: 9, 3: 1, 4: 2}",0
92,False,"{'a': 0.9, 'e': 0.912063165682272}",25,-34,-170.72499000043553,"{0: 40, 1: 3, 2: 14, 3: 0, 4: 2}",0
93,False,"{'a': 0.9, 'e': 0.9111511025165897}",20,-21,-201.0356564601396,"{0: 28, 1: 2, 2: 5, 3: 3, 4: 3}",0
94,False,"{'a': 0.9, 'e': 0.9102399514140731}",30,-100,-489.96908346191384,"{0: 86, 1: 8, 2: 28, 3: 1, 4: 7}",0
95,False,"{'a': 0.9, 'e': 0.9093297114626591}",20,0,-102.20280967838161,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.9084203817511963}",20,-9,-271.00340253625654,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 6}",0
97,False,"{'a': 0.9, 'e': 0.9075119613694451}",30,-100,-707.5509361723036,"{0: 76, 1: 5, 2: 35, 3: 6, 4: 8}",0
98,False,"{'a': 0.9, 'e': 0.9066044494080757}",25,-18,-242.16729738580054,"{0: 25, 1: 4, 2: 8, 3: 3, 4: 3}",0
99,False,"{'a': 0.9, 'e': 0.9056978449586677}",25,10,-105.39417257418478,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 2}",1
